City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kaoma,-14.7833,24.8,22.73,69,100,4.5,ZM,1678692348
1,pedasi,7.5333,-80.0333,23.84,82,9,1.66,PA,1678692348
2,albany,42.6001,-73.9662,3.29,78,100,0.45,US,1678692348
3,pombas,17.1503,-25.0201,18.88,74,8,4.1,CV,1678692348
4,namibe,-15.1961,12.1522,24.77,75,90,0.59,AO,1678692348
5,punta arenas,-53.15,-70.9167,4.06,81,0,4.63,CL,1678692349
6,ushuaia,-54.8,-68.3,3.81,87,0,2.57,AR,1678692328
7,saint george,37.1041,-113.5841,10.14,74,20,3.09,US,1678692349
8,rikitea,-23.1203,-134.9692,26.3,84,100,8.57,PF,1678692349
9,hermanus,-34.4187,19.2345,21.0,75,0,3.32,ZA,1678692349
10,faanui,-16.4833,-151.75,27.6,75,100,5.13,PF,1678692349
11,broome,42.2506,-75.833,2.14,80,100,3.09,US,1678692349
12,camacha,33.0833,-16.3333,16.68,88,75,2.57,PT,1678692349
13,kavaratti,10.5669,72.642,27.68,71,9,1.4,IN,1678692349
14,new norfolk,-42.7826,147.0587,19.72,48,30,2.91,AU,1678692349
15,cidreira,-30.1811,-50.2056,24.13,85,1,5.95,BR,1678692349
16,chara,56.9064,118.2631,-8.73,77,100,0.94,RU,1678692349
17,cape town,-33.9258,18.4232,22.28,77,0,4.63,ZA,1678691898
18,vaini,-21.2,-175.2,26.09,94,40,3.09,TO,1678692350
19,mataura,-46.1927,168.8643,12.49,74,100,3.44,NZ,1678692350
20,cockburn town,21.4612,-71.1419,24.1,75,6,2.93,TC,1678692350
21,narsaq,60.9167,-46.05,-4.88,67,4,3.86,GL,1678692350
22,westport,41.1415,-73.3579,5.31,82,100,5.14,US,1678692350
23,saint-philippe,-21.3585,55.7679,28.77,76,29,5.58,RE,1678692350
24,kushmurun,52.4503,64.6311,-2.59,86,13,5.34,KZ,1678692351
25,cabo san lucas,22.8909,-109.9124,21.95,70,0,3.5,MX,1678692111
26,bundaberg,-24.85,152.35,24.56,99,96,3.12,AU,1678692351
27,srednekolymsk,67.45,153.6833,-17.32,95,94,4.12,RU,1678692351
28,la ronge,55.1001,-105.2842,-6.86,58,75,2.06,CA,1678692351
29,butaritari,3.0707,172.7902,27.82,78,0,6.97,KI,1678692351
30,isangel,-19.55,169.2667,26.16,79,8,4.56,VU,1678692351
31,kollo,13.3043,2.339,26.13,11,100,3.45,NE,1678692351
32,saint-pierre,-21.3393,55.4781,29.95,70,20,10.8,RE,1678692065
33,luderitz,-26.6481,15.1594,18.63,65,0,3.88,NA,1678692351
34,bambous virieux,-20.3428,57.7575,27.14,74,75,1.03,MU,1678692351
35,carnarvon,-24.8667,113.6333,28.77,59,0,9.91,AU,1678692352
36,cherskiy,68.75,161.3,-11.6,95,100,3.83,RU,1678692352
37,port alfred,-33.5906,26.891,23.43,77,1,1.34,ZA,1678692352
38,mar del plata,-38.0023,-57.5575,25.61,82,76,0.89,AR,1678692253
39,east london,-33.0153,27.9116,24.52,69,0,5.14,ZA,1678692352
40,makakilo city,21.3469,-158.0858,24.18,84,0,3.09,US,1678692352
41,chuy,-33.6971,-53.4616,21.97,95,88,3.19,UY,1678692352
42,petropavl,54.8753,69.1628,-3.01,68,0,4.0,KZ,1678692240
43,coahuayana,18.7333,-103.6833,20.57,94,92,1.23,MX,1678692352
44,busselton,-33.65,115.3333,25.73,54,69,6.93,AU,1678692352
45,yenagoa,4.9247,6.2642,26.45,83,83,1.16,NG,1678692353
46,hobart,-42.8794,147.3294,19.92,63,40,4.63,AU,1678692324
47,newala,-10.9431,39.2787,24.31,65,100,3.58,TZ,1678692353
48,kaitangata,-46.2817,169.8464,11.97,65,76,5.41,NZ,1678692353
49,norman wells,65.282,-126.8329,-26.98,69,20,2.06,CA,1678692353
50,hamilton,39.1834,-84.5333,3.46,84,100,1.54,US,1678692353
51,kholtoson,50.2981,103.3097,-6.69,88,100,2.96,RU,1678692353
52,hasaki,35.7333,140.8333,14.56,79,100,7.48,JP,1678692353
53,sao filipe,14.8961,-24.4956,23.82,63,3,4.02,CV,1678692353
54,tuktoyaktuk,69.4541,-133.0374,-20.0,84,100,7.2,CA,1678692354
55,yining,29.0361,114.5636,21.12,18,0,1.37,CN,1678692354
56,port elizabeth,-33.918,25.5701,25.05,73,0,3.6,ZA,1678692354
57,maniitsoq,65.4167,-52.9,-11.38,70,13,3.56,GL,1678692354
